,main_lobe_gain_db,max_sidelobe_db,avg_sidelobe_db,pattern_std,fitness
TSILS,-15.414559475853578,4.3429451781522366e-10,-24.101525080567622,11.670204184994178,10.518142788899274
GWO,-0.03175959516006,4.3428776752295844e-10,-37.92958000681277,18.933360794553987,-7.560442247755829
WDGWO,4.3429451781522366e-10,4.342704096285622e-10,-34.58257842968615,15.804662300249674,-7.213841069073069
CGWO,-0.010416218974147521,4.342578733714983e-10,-24.893125048520545,11.871910318652999,-5.083139231634286
