,best,worst,mean,std,median
TSILS,10.518142788899274,10.518142788903308,10.51814278889977,1.179719086701516e-12,10.51814278889939
GWO,-7.560442247755829,-5.430154474740597,-6.765903093276942,0.5601825576680892,-6.789575696144049
WDGWO,-7.213841069073069,-4.284327881443412,-6.31352380629941,0.9309727340156694,-6.676492174211969
CGWO,-5.083139231634286,-4.803574642057826,-4.899723480062937,0.08064799333970982,-4.899856001167812
